,Semana 1,,
Semana,Juego ,MH,Torneo
1,FTA VS SAP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1684016?gameHash=fece965309d9a854&tab=overview,Leviathan Masters
1,GOAT VS PG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1684071?gameHash=daf360edb4df4ca5&tab=overview,Leviathan Masters
1,TH VS DEL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1684101?gameHash=035633e53f5a6185&tab=overview,Leviathan Masters
1,VL VS JV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1684123?gameHash=20423b8a2c2e2dcc&tab=overview,Leviathan Masters
1,FGO VS BAN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1695022?gameHash=5ea307fb6855a29e&tab=overview,Kraken Masters
1,VDL VS RR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1695047?gameHash=cf91b3d4ecc9fa84&tab=overview,Kraken Masters
1,HIPO VS QE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1695077?gameHash=71fd8c3da4069bd9&tab=overview,Kraken Masters
1,3SG VS STK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1695096?gameHash=d398d407a761cb7b&tab=overview,Kraken Masters
2,DEL VS FTA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1687646?gameHash=f93b52b2b736238c&tab=overview,Leviathan Masters
2,SAP VS JV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1687673?gameHash=aee27b367c63bd72&tab=overview,Leviathan Masters
2,TH VS GOAT,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1687682?gameHash=521575bd2bf2dd67&tab=overview,Leviathan Masters
2,PG VS VL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1687693?gameHash=b0e14ae6e28663bc&tab=overview,Leviathan Masters
2,VDL VS FGO,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1697749?gameHash=562ba5b40aa8fcf4&tab=overview,Kraken Masters
2,BAN VS 3SG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1697779?gameHash=230fd89c5bddbab4&tab=overview,Kraken Masters
2,RR VS QE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1697800?gameHash=2d0895cfcb6f4474&tab=overview,Kraken Masters
2,STK VS HIPO,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1697811?gameHash=31c36090a89e2ba0&tab=overview,Kraken Masters
3,VL VS SAP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1762417?gameHash=f946d771feacb673&tab=overview,Leviathan Masters
3,FTA VS PG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1762451?gameHash=9731a607a1aefc67&tab=overview,Leviathan Masters
3,GOAT VS DEL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1762478?gameHash=cb269dd0066599fa&tab=overview,Leviathan Masters
3,JV VS TH,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1762496?gameHash=af19af2be4b6a40d&tab=overview,Leviathan Masters
3,BAN VS VDL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1754001?gameHash=d64680d81a7eefa7&tab=overview,Kraken Masters
3,FGO VS 3SG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1754064?gameHash=fa2c9d423dfff1ec&tab=overview,Kraken Masters
3,HIPO VS RR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1754086?gameHash=b8a71eeac234858d&tab=overview,Kraken Masters
3,QE VS STK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1754103?gameHash=20bddf6048a36af1&tab=overview,Kraken Masters
4,SAP VS PG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1766225?gameHash=5a60a41b73401987&tab=overview,Leviathan Masters
4,TH VS FTA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1766248?gameHash=2eec92a9fe520edc&tab=overview,Leviathan Masters
4,DEL VS VL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1766265?gameHash=921d7cb26d9e2e51&tab=overview,Leviathan Masters
4,JV VS GOAT,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1766276?gameHash=155247afd6581a0a&tab=overview,Leviathan Masters
4,STK VS BAN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1757406?gameHash=ce0068ffbba5a451&tab=overview,Kraken Masters
4,RR VS FGO,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1757431?gameHash=72b429d8cfac4e25&tab=overview,Kraken Masters
4,VDL VS QE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1757439?gameHash=012074dc69bc47dd&tab=overview,Kraken Masters
4,HIPO VS 3SG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1757456?gameHash=49240203eace2790&tab=stats,Kraken Masters
5,TH VS VL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1892114?gameHash=cc14b800140636d2&tab=overview,Leviathan Masters
5,DEL VS SAP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1892151?gameHash=b5d6e5f4cfca31cf&tab=overview,Leviathan Masters
5,FTA VS GOAT,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1892168?gameHash=4ba67f77cd5fc2d2&tab=overview,Leviathan Masters
5,JV VS PG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1892181?gameHash=f3bc9a2297a8efbf&tab=overview,Leviathan Masters
5,BAN VS QE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1893555?gameHash=7f407e445af81dfc&tab=overview,Kraken Masters
5,HIPO VS VDL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1893597?gameHash=323af1c0b0f641d7&tab=overview,Kraken Masters
5,FGO VS STK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1893638?gameHash=9e0fbe55886d76f1&tab=overview,Kraken Masters
5,3SG VS RR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1893654?gameHash=5d4d20419100be2d&tab=overview,Kraken Masters
6,GOAT VS VL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1886302?gameHash=4bdae61d9a0e8519&tab=overview,Leviathan Masters
6,SAP VS TH,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1886319?gameHash=18a32780f4784f5f&tab=overview,Leviathan Masters
