participantId,teamId,championId,spell1Id,spell2Id,team,summonerName,role,stats.participantId,stats.win,stats.item0,stats.item1,stats.item2,stats.item3,stats.item4,stats.item5,stats.item6,stats.kills,stats.deaths,stats.assists,stats.largestKillingSpree,stats.largestMultiKill,stats.killingSprees,stats.longestTimeSpentLiving,stats.doubleKills,stats.tripleKills,stats.quadraKills,stats.pentaKills,stats.unrealKills,stats.totalDamageDealt,stats.magicDamageDealt,stats.physicalDamageDealt,stats.trueDamageDealt,stats.largestCriticalStrike,stats.totalDamageDealtToChampions,stats.magicDamageDealtToChampions,stats.physicalDamageDealtToChampions,stats.trueDamageDealtToChampions,stats.totalHeal,stats.totalUnitsHealed,stats.damageSelfMitigated,stats.damageDealtToObjectives,stats.damageDealtToTurrets,stats.visionScore,stats.timeCCingOthers,stats.totalDamageTaken,stats.magicalDamageTaken,stats.physicalDamageTaken,stats.trueDamageTaken,stats.goldEarned,stats.goldSpent,stats.turretKills,stats.inhibitorKills,stats.totalMinionsKilled,stats.neutralMinionsKilled,stats.neutralMinionsKilledTeamJungle,stats.neutralMinionsKilledEnemyJungle,stats.totalTimeCrowdControlDealt,stats.champLevel,stats.visionWardsBoughtInGame,stats.sightWardsBoughtInGame,stats.wardsPlaced,stats.wardsKilled,stats.firstBloodKill,stats.firstBloodAssist,stats.firstTowerKill,stats.firstTowerAssist,stats.firstInhibitorKill,stats.firstInhibitorAssist,stats.combatPlayerScore,stats.objectivePlayerScore,stats.totalPlayerScore,stats.totalScoreRank,stats.playerScore0,stats.playerScore1,stats.playerScore2,stats.playerScore3,stats.playerScore4,stats.playerScore5,stats.playerScore6,stats.playerScore7,stats.playerScore8,stats.playerScore9,stats.perk0,stats.perk0Var1,stats.perk0Var2,stats.perk0Var3,stats.perk1,stats.perk1Var1,stats.perk1Var2,stats.perk1Var3,stats.perk2,stats.perk2Var1,stats.perk2Var2,stats.perk2Var3,stats.perk3,stats.perk3Var1,stats.perk3Var2,stats.perk3Var3,stats.perk4,stats.perk4Var1,stats.perk4Var2,stats.perk4Var3,stats.perk5,stats.perk5Var1,stats.perk5Var2,stats.perk5Var3,stats.perkPrimaryStyle,stats.perkSubStyle,stats.statPerk0,stats.statPerk1,stats.statPerk2,timeline.participantId,timeline.creepsPerMinDeltas.10-20,timeline.creepsPerMinDeltas.0-10,timeline.creepsPerMinDeltas.30-end,timeline.creepsPerMinDeltas.20-30,timeline.xpPerMinDeltas.10-20,timeline.xpPerMinDeltas.0-10,timeline.xpPerMinDeltas.30-end,timeline.xpPerMinDeltas.20-30,timeline.goldPerMinDeltas.10-20,timeline.goldPerMinDeltas.0-10,timeline.goldPerMinDeltas.30-end,timeline.goldPerMinDeltas.20-30,timeline.damageTakenPerMinDeltas.10-20,timeline.damageTakenPerMinDeltas.0-10,timeline.damageTakenPerMinDeltas.30-end,timeline.damageTakenPerMinDeltas.20-30,timeline.role,timeline.lane,gameId,platformId,gameCreation,gameDuration,queueId,mapId,seasonId,gameVersion,gameMode,gameType,stats.kills.team,stats.deaths.team,stats.assists.team,stats.doubleKills.team,stats.tripleKills.team,stats.quadraKills.team,stats.pentaKills.team,stats.unrealKills.team,stats.magicDamageDealt.team,stats.physicalDamageDealt.team,stats.trueDamageDealt.team,stats.largestCriticalStrike.team,stats.totalDamageDealtToChampions.team,stats.magicDamageDealtToChampions.team,stats.physicalDamageDealtToChampions.team,stats.trueDamageDealtToChampions.team,stats.totalHeal.team,stats.totalUnitsHealed.team,stats.damageSelfMitigated.team,stats.damageDealtToObjectives.team,stats.damageDealtToTurrets.team,stats.visionScore.team,stats.timeCCingOthers.team,stats.totalDamageTaken.team,stats.magicalDamageTaken.team,stats.physicalDamageTaken.team,stats.trueDamageTaken.team,stats.goldEarned.team,stats.turretKills.team,stats.inhibitorKills.team,stats.totalMinionsKilled.team,stats.neutralMinionsKilled.team,stats.neutralMinionsKilledTeamJungle.team,stats.neutralMinionsKilledEnemyJungle.team,stats.totalTimeCrowdControlDealt.team,stats.visionWardsBoughtInGame.team,stats.sightWardsBoughtInGame.team,stats.wardsPlaced.team,stats.wardsKilled.team,timeline.creepsPerMinDeltas.10-20.team,timeline.creepsPerMinDeltas.0-10.team,timeline.creepsPerMinDeltas.30-end.team,timeline.creepsPerMinDeltas.20-30.team,timeline.xpPerMinDeltas.10-20.team,timeline.xpPerMinDeltas.0-10.team,timeline.xpPerMinDeltas.30-end.team,timeline.xpPerMinDeltas.20-30.team,timeline.goldPerMinDeltas.10-20.team,timeline.goldPerMinDeltas.0-10.team,timeline.goldPerMinDeltas.30-end.team,timeline.goldPerMinDeltas.20-30.team,timeline.damageTakenPerMinDeltas.10-20.team,timeline.damageTakenPerMinDeltas.0-10.team,timeline.damageTakenPerMinDeltas.30-end.team,timeline.damageTakenPerMinDeltas.20-30.team
1,100,150,4,12,FTA,PuTigo,TOP,1,False,6631,3111,2055,3053,4401,3075,3340,4,0,3,4,2,1,0,1,0,0,0,0,269259,24455,236409,8394,11,22767,2170,20577,19,9173,1,25309,27591,8963,50,36,19165,8937,9153,1074,15716,15225,3,1,272,26,7,11,740,18,15,0,27,7,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,2294,0,0,9101,5122,6779,0,9105,17,10,0,8299,70,0,0,8139,894,0,0,8135,2090,3,0,8000,8100,5005,5008,5002,1,8.8,8.6,8.0,5.6,542.5,450.0,695.6,539.4,474.2,298.29999999999995,509.6,416.6,504.79999999999995,200.8,74.2,588.0,DUO,MIDDLE,1684016,ESPORTSTMNT02,1612308533388,2344,0,11,13,11.2.353.8505,CLASSIC,CUSTOM_GAME,8,11,20,1,0,0,0,0,449884,447570,37745,427,64337,31558,30971,1805,31130,11,75162,70053,13207,328,101,90847,42514,42957,5371,64571,7,2,928,260,173,37,2150,59,0,136,61,29.3,26.1,23.400000000000002,23.400000000000002,2212.6,1754.7,2002.2,2343.6,1774.5,1238.3999999999999,1841.2,1809.3,1515.3999999999999,1234.5000000000002,2567.8,2377.1
2,100,163,4,11,FTA,Nebraska,JG,2,False,3157,6653,2055,3116,3020,0,3364,0,3,4,0,0,0,1935,0,0,0,0,0,202928,177920,16274,8733,0,6055,5497,182,375,8857,1,10853,20714,914,60,9,21430,8413,11761,1255,11879,11825,1,0,50,183,133,14,587,15,13,0,19,14,False,False,True,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,7,0,0,8275,17,0,0,8234,18488,0,0,8232,8,10,0,8126,448,0,0,8135,2476,3,0,8200,8100,5005,5008,5002,2,0.6,0.30000000000000004,2.8,2.2,417.5,350.79999999999995,281.0,463.7,312.4,272.0,285.8,332.9,414.4,479.6,620.2,358.9,DUO,MIDDLE,1684016,ESPORTSTMNT02,1612308533388,2344,0,11,13,11.2.353.8505,CLASSIC,CUSTOM_GAME,8,11,20,1,0,0,0,0,449884,447570,37745,427,64337,31558,30971,1805,31130,11,75162,70053,13207,328,101,90847,42514,42957,5371,64571,7,2,928,260,173,37,2150,59,0,136,61,29.3,26.1,23.400000000000002,23.400000000000002,2212.6,1754.7,2002.2,2343.6,1774.5,1238.3999999999999,1841.2,1809.3,1515.3999999999999,1234.5000000000002,2567.8,2377.1
3,100,112,4,12,FTA,Xuradel,MID,3,False,3040,6653,3157,3135,3158,1082,3363,1,3,6,0,1,0,1458,0,0,0,0,0,234490,220636,13854,0,0,18822,18745,77,0,5232,1,12781,6965,2263,51,27,15760,9911,5541,307,13795,13450,1,0,286,31,16,12,595,17,4,0,16,8,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,8,0,0,8226,250,1874,0,8210,8,0,0,8236,48,0,0,8139,1152,0,0,8135,3120,4,0,8200,8100,5007,5008,5003,3,9.600000000000001,8.3,3.4,7.800000000000001,563.8,414.2,401.4,534.0,380.20000000000005,268.0,334.6,404.5,254.39999999999998,265.9,893.0,286.1,DUO,BOTTOM,1684016,ESPORTSTMNT02,1612308533388,2344,0,11,13,11.2.353.8505,CLASSIC,CUSTOM_GAME,8,11,20,1,0,0,0,0,449884,447570,37745,427,64337,31558,30971,1805,31130,11,75162,70053,13207,328,101,90847,42514,42957,5371,64571,7,2,928,260,173,37,2150,59,0,136,61,29.3,26.1,23.400000000000002,23.400000000000002,2212.6,1754.7,2002.2,2343.6,1774.5,1238.3999999999999,1841.2,1809.3,1515.3999999999999,1234.5000000000002,2567.8,2377.1
4,100,145,7,4,FTA,Doosu,ADC,4,False,3046,2420,6672,6676,3006,3123,3363,2,2,3,0,1,0,1941,0,0,0,0,0,206616,18855,174818,12943,416,14095,2918,9783,1393,6635,3,9021,14783,1067,51,2,16576,6648,8802,1125,14487,12850,2,1,271,20,17,0,68,15,8,0,18,13,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9923,28,77,0,8139,632,0,0,8138,6,0,0,8135,2679,3,0,8017,1126,0,0,8009,1103,0,0,8100,8000,5005,5008,5002,4,8.2,7.4,8.0,7.1,386.0,312.9,354.4,490.70000000000005,347.70000000000005,252.8,460.2,436.0,127.7,136.0,507.0,617.3,DUO,BOTTOM,1684016,ESPORTSTMNT02,1612308533388,2344,0,11,13,11.2.353.8505,CLASSIC,CUSTOM_GAME,8,11,20,1,0,0,0,0,449884,447570,37745,427,64337,31558,30971,1805,31130,11,75162,70053,13207,328,101,90847,42514,42957,5371,64571,7,2,928,260,173,37,2150,59,0,136,61,29.3,26.1,23.400000000000002,23.400000000000002,2212.6,1754.7,2002.2,2343.6,1774.5,1238.3999999999999,1841.2,1809.3,1515.3999999999999,1234.5000000000002,2567.8,2377.1
5,100,201,3,4,FTA,Onier,SUP,5,False,3190,3857,2055,3109,3117,3067,3364,1,3,4,0,1,0,1365,0,0,0,0,0,21909,8018,6215,7675,0,2598,2228,352,18,1233,5,17198,0,0,116,27,17916,8605,7700,1610,8694,8525,0,0,49,0,0,0,160,13,19,0,56,19,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465,3196,0,0,8463,1029,0,0,8473,496,0,0,8242,20,0,0,8345,3,0,0,8352,29,150,0,8400,8300,5005,5002,5003,5,2.1,1.5,1.2,0.7,302.79999999999995,226.8,269.8,315.8,260.0,147.3,251.0,219.3,214.1,152.20000000000002,473.4,526.8,DUO,BOTTOM,1684016,ESPORTSTMNT02,1612308533388,2344,0,11,13,11.2.353.8505,CLASSIC,CUSTOM_GAME,8,11,20,1,0,0,0,0,449884,447570,37745,427,64337,31558,30971,1805,31130,11,75162,70053,13207,328,101,90847,42514,42957,5371,64571,7,2,928,260,173,37,2150,59,0,136,61,29.3,26.1,23.400000000000002,23.400000000000002,2212.6,1754.7,2002.2,2343.6,1774.5,1238.3999999999999,1841.2,1809.3,1515.3999999999999,1234.5000000000002,2567.8,2377.1
6,200,516,12,4,SAP,Chiu,TOP,6,True,4401,7004,3070,3111,3075,3801,3340,0,1,7,0,0,0,1174,0,0,0,0,0,135034,70375,60919,3739,0,5583,3425,1422,734,4327,2,35352,9882,597,42,17,24846,7220,17536,89,11503,11225,2,0,215,10,0,0,494,18,1,0,16,6,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8360,13,0,0,8304,12,0,0,8345,3,0,0,8347,0,0,0,8444,2054,0,0,8453,662,72,0,8300,8400,5005,5002,5003,6,6.6,6.8,3.6,6.1,395.9,465.0,549.6,443.0,275.9,239.8,269.6,286.3,618.9,333.1,928.0,674.9,NONE,JUNGLE,1684016,ESPORTSTMNT02,1612308533388,2344,0,11,13,11.2.353.8505,CLASSIC,CUSTOM_GAME,11,8,28,2,0,0,0,0,399409,522788,42158,812,64438,39663,19423,5346,36235,9,117632,99202,16337,316,104,105541,34631,69099,1806,66533,7,1,962,247,166,4,1245,48,0,135,59,27.3,26.5,24.6,23.9,1872.6,1873.9,2701.8,2048.8,1507.0000000000002,1290.3,2006.8000000000002,1552.6999999999998,2589.0,1419.5,3168.8,2994.3
7,200,120,6,11,SAP,Sandroxx,JG,7,True,3111,2055,3053,3211,3067,7018,3364,0,4,8,0,0,0,1009,0,0,0,0,0,198193,22085,160491,15616,0,5751,1481,3445,824,24608,1,36818,33689,0,59,24,41651,10866,29881,902,11930,10983,0,0,28,181,126,0,238,16,12,0,11,19,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,16,0,0,9111,692,160,0,9104,18,20,0,8299,367,0,0,8143,271,0,0,8135,3962,4,0,8000,8100,5008,5008,5002,7,0.4,0.2,1.8,1.1,356.2,326.5,502.8,381.4,279.1,265.2,283.8,298.0,1045.6,833.3,713.4,1104.7,NONE,JUNGLE,1684016,ESPORTSTMNT02,1612308533388,2344,0,11,13,11.2.353.8505,CLASSIC,CUSTOM_GAME,11,8,28,2,0,0,0,0,399409,522788,42158,812,64438,39663,19423,5346,36235,9,117632,99202,16337,316,104,105541,34631,69099,1806,66533,7,1,962,247,166,4,1245,48,0,135,59,27.3,26.5,24.6,23.9,1872.6,1873.9,2701.8,2048.8,1507.0000000000002,1290.3,2006.8000000000002,1552.6999999999998,2589.0,1419.5,3168.8,2994.3
8,200,134,12,4,SAP,Shieldworm,MID,8,True,7013,2420,3020,3089,3040,3135,3363,6,2,2,5,2,1,1052,1,0,0,0,0,301412,274158,19163,8090,0,32172,29257,308,2606,968,1,7109,4998,3924,44,40,11989,4745,7196,47,17040,15875,1,1,347,36,24,4,428,18,6,0,16,8,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,8,0,0,8226,250,1641,0,8210,15,0,0,8237,595,0,0,8304,11,1,5,8345,3,0,0,8200,8300,5005,5008,5003,8,9.9,9.3,9.8,7.1,480.5,519.0,680.4,415.7,370.70000000000005,335.5,553.2,327.0,356.5,150.8,348.0,345.1,NONE,JUNGLE,1684016,ESPORTSTMNT02,1612308533388,2344,0,11,13,11.2.353.8505,CLASSIC,CUSTOM_GAME,11,8,28,2,0,0,0,0,399409,522788,42158,812,64438,39663,19423,5346,36235,9,117632,99202,16337,316,104,105541,34631,69099,1806,66533,7,1,962,247,166,4,1245,48,0,135,59,27.3,26.5,24.6,23.9,1872.6,1873.9,2701.8,2048.8,1507.0000000000002,1290.3,2006.8000000000002,1552.6999999999998,2589.0,1419.5,3168.8,2994.3
9,200,498,7,4,SAP,Shade,ADC,9,True,3094,3508,3006,3033,7006,3031,3363,5,0,3,5,2,1,2339,1,0,0,0,0,290190,2711,280165,7313,812,15483,928,14248,305,4229,4,6309,47634,11171,58,10,13748,8545,5168,34,17259,16500,4,0,328,20,16,0,63,17,6,0,16,13,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,1,30,0,9111,449,160,0,9103,27,30,0,8014,261,0,0,8345,3,0,0,8304,12,0,0,8000,8300,5005,5008,5002,9,8.8,8.8,9.0,8.7,394.6,344.0,583.4,466.90000000000003,366.1,293.29999999999995,666.2,450.09999999999997,293.29999999999995,33.5,903.6,372.8,SOLO,BOTTOM,1684016,ESPORTSTMNT02,1612308533388,2344,0,11,13,11.2.353.8505,CLASSIC,CUSTOM_GAME,11,8,28,2,0,0,0,0,399409,522788,42158,812,64438,39663,19423,5346,36235,9,117632,99202,16337,316,104,105541,34631,69099,1806,66533,7,1,962,247,166,4,1245,48,0,135,59,27.3,26.5,24.6,23.9,1872.6,1873.9,2701.8,2048.8,1507.0000000000002,1290.3,2006.8000000000002,1552.6999999999998,2589.0,1419.5,3168.8,2994.3
10,200,3,4,14,SAP,Zeku,SUP,10,True,3860,3111,7019,3109,0,0,3364,0,1,8,0,0,0,1043,0,0,0,0,0,39531,30080,2050,7400,0,5449,4572,0,877,2103,1,32044,2999,645,113,13,13307,3255,9318,734,8801,8125,0,0,44,0,0,0,22,15,23,0,76,13,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,117,0,0,8446,433,0,0,8473,378,0,0,8451,226,0,0,8275,7,0,0,8210,15,0,0,8400,8200,5008,5008,5002,10,1.6,1.4,0.4,0.8999999999999999,245.4,219.4,385.6,341.8,215.2,156.5,234.0,191.3,274.7,68.8,275.8,496.8,NONE,JUNGLE,1684016,ESPORTSTMNT02,1612308533388,2344,0,11,13,11.2.353.8505,CLASSIC,CUSTOM_GAME,11,8,28,2,0,0,0,0,399409,522788,42158,812,64438,39663,19423,5346,36235,9,117632,99202,16337,316,104,105541,34631,69099,1806,66533,7,1,962,247,166,4,1245,48,0,135,59,27.3,26.5,24.6,23.9,1872.6,1873.9,2701.8,2048.8,1507.0000000000002,1290.3,2006.8000000000002,1552.6999999999998,2589.0,1419.5,3168.8,2994.3
